"","c..d1.MZ619041.1....d1.MZ229304.1....d1.MZ229305.1....d1.MZ312926.1..."
"426","d1.MW946040.1"
"427","d1.MW946042.1"
"428","d1.MW946043.1"
"429","d1.MW946045.1"
"430","d1.MW946044.1"
"431","d1.MW946041.1"
"432","d1.MW946047.1"
"433","d1.MW946046.1"
"434","d1.MW946049.1"
"435","d1.MW946048.1"
"436","d1.MW946050.1"
"437","d1.MW946052.1"
"438","d1.MW946051.1"
"439","d1.MW946053.1"
"440","d1.MW946054.1"
"441","d1.MW946059.1"
"442","d1.MW946055.1"
"443","d1.MW946056.1"
"444","d1.MW946060.1"
"445","d1.MW946061.1"
"446","d1.MW946057.1"
"447","d1.MW946058.1"
"448","d1.MW946064.1"
"449","d1.MW946062.1"
"450","d1.MW946069.1"
"451","d1.MW946063.1"
"452","d1.MW946067.1"
"453","d1.MW946066.1"
"454","d1.MW946068.1"
"455","d1.MW946065.1"
"456","d1.MW946070.1"
"457","d1.MW946073.1"
"458","d1.MW946071.1"
"459","d1.MW946076.1"
"460","d1.MW946074.1"
"461","d1.MW946075.1"
"462","d1.MW946072.1"
"463","d1.MW946077.1"
"464","d1.MW946079.1"
"465","d1.MW946078.1"
"466","d1.MW946080.1"
"467","d1.MW946082.1"
"468","d1.MW946081.1"
"469","d1.MW946085.1"
"470","d1.MW946083.1"
"471","d1.MW946084.1"
"472","d1.MW946086.1"
"473","d1.MW946087.1"
"474","d1.MW946089.1"
"475","d1.MW946088.1"
"476","d1.MW946090.1"
"477","d1.MW946092.1"
"478","d1.MW946091.1"
"479","d1.MW946093.1"
"480","d1.MW946094.1"
"481","d1.MW946098.1"
"482","d1.MW946097.1"
"483","d1.MW946095.1"
"484","d1.MW946096.1"
"485","d1.MW946099.1"
"486","d1.MW946100.1"
"487","d1.MW946101.1"
"488","d1.MW946102.1"
"489","d1.MW946103.1"
"490","d1.MW946104.1"
"491","d1.MW946106.1"
"492","d1.MW946107.1"
"493","d1.MW946105.1"
"494","d1.MW946109.1"
"495","d1.MW946108.1"
"496","d1.MW946110.1"
"497","d1.MW946112.1"
"498","d1.MW946113.1"
"499","d1.MW946111.1"
"500","d1.MW946115.1"
"501","d1.MW946114.1"
"502","d1.MW946117.1"
"503","d1.MW946116.1"
"504","d1.MW946118.1"
"505","d1.MW946120.1"
"506","d1.MW946119.1"
"507","d1.MW946121.1"
"508","d1.MW946122.1"
"509","d1.MW946123.1"
"510","d1.MW946124.1"
"511","d1.MW946126.1"
"512","d1.MW946125.1"
"513","d1.MW946127.1"
"514","d1.MW946128.1"
"515","d1.MW946130.1"
"516","d1.MW946129.1"
"517","d1.MW946131.1"
"518","d1.MW946133.1"
"519","d1.MW946132.1"
"520","d1.MW946135.1"
"521","d1.MW946134.1"
"522","d1.MW946136.1"
"523","d1.MW946138.1"
"524","d1.MW946137.1"
"525","d1.MW946139.1"
"526","d1.MW946140.1"
"527","d1.MW946141.1"
"528","d1.MW946143.1"
"529","d1.MW946144.1"
"530","d1.MW946145.1"
"531","d1.MW946146.1"
"532","d1.MW946142.1"
"533","d1.MW946147.1"
"534","d1.MW946148.1"
"535","d1.MW946151.1"
"536","d1.MW946150.1"
"537","d1.MW946149.1"
"538","d1.MW946152.1"
"539","d1.MW946153.1"
"540","d1.MW946154.1"
"541","d1.MW946155.1"
"542","d1.MW946157.1"
"543","d1.MW946156.1"
"544","d1.MW946158.1"
"545","d1.MW946159.1"
"546","d1.MW946160.1"
"547","d1.MW946162.1"
"548","d1.MW946161.1"
"549","d1.MW946163.1"
"550","d1.MW946164.1"
"551","d1.MW946167.1"
"552","d1.MW946165.1"
"553","d1.MW946166.1"
"554","d1.MW946168.1"
"555","d1.MW946169.1"
"556","d1.MW946170.1"
"557","d1.MW946171.1"
"558","d1.MW946174.1"
"559","d1.MW946173.1"
"560","d1.MW946172.1"
"561","d1.MW946175.1"
"562","d1.MW946176.1"
"563","d1.MW946177.1"
"564","d1.MW946178.1"
"565","d1.MW946179.1"
"566","d1.MW946181.1"
"567","d1.MW946180.1"
"568","d1.MW946182.1"
"569","d1.MW946184.1"
"570","d1.MW946183.1"
"571","d1.MW946186.1"
"572","d1.MW946185.1"
"573","d1.MW946188.1"
"574","d1.MW946187.1"
"575","d1.MW946190.1"
"576","d1.MW946189.1"
"577","d1.MW946193.1"
"578","d1.MW946194.1"
"579","d1.MW946192.1"
"580","d1.MW946191.1"
"581","d1.MW946195.1"
"582","d1.MW946197.1"
"583","d1.MW946198.1"
"584","d1.MW946196.1"
"585","d1.MW946199.1"
"586","d1.MW946200.1"
"587","d1.MW946202.1"
"588","d1.MW946201.1"
"589","d1.MW946204.1"
"590","d1.MW946203.1"
"591","d1.MW946207.1"
"592","d1.MW946205.1"
"593","d1.MW946209.1"
"594","d1.MW946206.1"
"595","d1.MW946212.1"
