"","c..d1.MZ619041.1....d1.MZ229304.1....d1.MZ229305.1....d1.MZ312926.1..."
"6141","d2.KU509272.1"
"6142","d2.KU509273.1"
"6143","d2.KU509276.1"
"6144","d2.KU509271.1"
"6145","d2.KU509277.1"
"6146","d2.KX225485.1"
"6147","d2.KX225486.1"
"6148","d2.KU509269.1"
"6149","d2.KU509275.1"
"6150","d2.KU509274.1"
"6151","d2.KU666947.1"
"6152","d2.KX702404.1"
"6153","d2.KX372564.1"
"6154","d2.KU666944.1"
"6155","d2.KU666949.1"
"6156","d2.KU517845.1"
"6157","d2.KX702403.1"
"6158","d2.KU517846.1"
"6159","d2.KP188550.1"
"6160","d2.KP188549.1"
"6161","d2.KU517847.1"
"6162","d2.KP188551.1"
"6163","d2.KU948303.1"
"6164","d2.KP188553.1"
"6165","d2.KP188552.1"
"6166","d2.KP188569.1"
"6167","d2.KP188554.1"
"6168","d2.KX380808.1"
"6169","d2.KX380810.1"
"6170","d2.KP188555.1"
"6171","d2.KP188556.1"
"6172","d2.KX380807.1"
"6173","d2.KX380809.1"
"6174","d2.KX380812.1"
"6175","d2.KX380815.1"
"6176","d2.KX380816.1"
"6177","d2.KX380811.1"
"6178","d2.KX380817.1"
"6179","d2.KX380818.1"
"6180","d2.KX380813.1"
"6181","d2.KX380814.1"
"6182","d2.KX380819.1"
"6183","d2.KX380822.1"
"6184","d2.KX380820.1"
"6185","d2.KX380825.1"
"6186","d2.KX380827.1"
"6187","d2.KX380826.1"
"6188","d2.KX380821.1"
"6189","d2.KX380830.1"
"6190","d2.KX380829.1"
"6191","d2.KX380832.1"
"6192","d2.KX380833.1"
"6193","d2.KX380828.1"
"6194","d2.KX380824.1"
"6195","d2.KX380836.1"
"6196","d2.KX380831.1"
"6197","d2.KX380823.1"
"6198","d2.KX380837.1"
"6199","d2.KX380838.1"
"6200","d2.KX380835.1"
"6201","d2.KU365901.1"
"6202","d2.KU365903.1"
"6203","d2.KU094070.1"
"6204","d2.LC111438.1"
"6205","d2.KT187553.1"
"6206","d2.KT187556.1"
"6207","d2.LC121816.1"
"6208","d2.KX380834.1"
"6209","d2.KU365902.1"
"6210","d2.KT187557.1"
"6211","d2.KT187555.1"
"6212","d2.KT187554.1"
"6213","d2.KP723478.1"
"6214","d2.KM217158.1"
"6215","d2.KJ701507.1"
"6216","d2.KM217156.1"
"6217","d2.KM217157.1"
"6218","d2.KR779782.1"
"6219","d2.KT187558.1"
"6220","d2.KP723479.1"
"6221","d2.KM279515.1"
"6222","d2.KM279513.1"
"6223","d2.KM279514.1"
"6224","d2.KM279518.1"
"6225","d2.KR779786.2"
"6226","d2.KM279517.1"
"6227","d2.KM279519.1"
"6228","d2.KM279516.1"
"6229","d2.KM279522.1"
"6230","d2.KM279524.1"
"6231","d2.KM279525.1"
"6232","d2.KM279523.1"
"6233","d2.KM279520.1"
"6234","d2.KM279521.1"
"6235","d2.KM279527.1"
"6236","d2.KM279530.1"
"6237","d2.KM279526.1"
"6238","d2.KM279532.1"
"6239","d2.KM279528.1"
"6240","d2.KM279529.1"
"6241","d2.KM279533.1"
"6242","d2.KM279536.1"
"6243","d2.KM279531.1"
"6244","d2.KM279537.1"
"6245","d2.KM279538.1"
"6246","d2.KM279534.1"
"6247","d2.KM279540.1"
"6248","d2.KM279539.1"
"6249","d2.KM279541.1"
"6250","d2.KM279535.1"
"6251","d2.KM279544.1"
"6252","d2.KM279547.1"
"6253","d2.KM279549.1"
"6254","d2.KM279548.1"
"6255","d2.KM279543.1"
"6256","d2.KM279550.1"
"6257","d2.KM279545.1"
"6258","d2.KM279546.1"
"6259","d2.KM279542.1"
"6260","d2.KM279554.1"
"6261","d2.KM279556.1"
"6262","d2.KM279557.1"
"6263","d2.KM279558.1"
"6264","d2.KM279552.1"
"6265","d2.KM279551.1"
"6266","d2.KM279553.1"
"6267","d2.KM279555.1"
"6268","d2.KM279563.1"
"6269","d2.KM279564.1"
"6270","d2.KM279565.1"
"6271","d2.KM279566.1"
"6272","d2.KM279559.1"
"6273","d2.KM279561.1"
"6274","d2.KM279560.1"
"6275","d2.KM279562.1"
"6276","d2.KM279571.1"
"6277","d2.KM279572.1"
"6278","d2.KM279573.1"
"6279","d2.KM279574.1"
"6280","d2.KM279567.1"
"6281","d2.KM279569.1"
"6282","d2.KM279568.1"
"6283","d2.KM279570.1"
"6284","d2.KM279579.1"
"6285","d2.KM279580.1"
"6286","d2.KM279581.1"
"6287","d2.KM279582.1"
"6288","d2.KM279576.1"
"6289","d2.KM279575.1"
"6290","d2.KM279577.1"
"6291","d2.KM279578.1"
"6292","d2.KM279584.1"
"6293","d2.KM279586.1"
"6294","d2.KM279587.1"
"6295","d2.KM279589.1"
"6296","d2.KM279588.1"
"6297","d2.KM279583.1"
"6298","d2.KM279590.1"
"6299","d2.KM279585.1"
"6300","d2.KM279594.1"
"6301","d2.KM279591.1"
"6302","d2.KM279596.1"
"6303","d2.KM279595.1"
"6304","d2.KM279592.1"
"6305","d2.KM279597.1"
"6306","d2.KM279593.1"
"6307","d2.KM279598.1"
"6308","d2.KM279599.1"
"6309","d2.KM279601.1"
"6310","d2.KM279602.1"
"6311","d2.KM279600.1"
"6312","d2.KM279606.1"
"6313","d2.KM279603.1"
"6314","d2.KM279604.1"
"6315","d2.KM279608.1"
"6316","d2.KM587709.1"
"6317","d2.KM279605.1"
"6318","d2.KM279610.1"
"6319","d2.KM279607.1"
"6320","d2.KC762656.1"
"6321","d2.KM279609.1"
"6322","d2.KC762655.1"
"6323","d2.KP012546.1"
"6324","d2.KC762657.1"
"6325","d2.KC762660.1"
"6326","d2.KC762658.1"
"6327","d2.KC762664.1"
"6328","d2.KC762662.1"
"6329","d2.KC762659.1"
"6330","d2.KC762663.1"
"6331","d2.KC762661.1"
"6332","d2.KC762666.1"
"6333","d2.KC762667.1"
"6334","d2.KC762665.1"
"6335","d2.KC762670.1"
"6336","d2.KC762672.1"
"6337","d2.KC762671.1"
"6338","d2.KC762668.1"
"6339","d2.KC762669.1"
"6340","d2.KC762675.1"
"6341","d2.KC762678.1"
"6342","d2.KC762674.1"
"6343","d2.KC762680.1"
"6344","d2.KC762679.1"
"6345","d2.KC762676.1"
"6346","d2.KC762673.1"
"6347","d2.KC762677.1"
"6348","d2.KF744402.1"
"6349","d2.KF744399.1"
"6350","d2.KF744400.1"
"6351","d2.KF744398.1"
"6352","d2.KF744397.1"
"6353","d2.KF744403.1"
"6354","d2.KF744401.1"
"6355","d2.KM204118.1"
"6356","d2.KF744406.1"
"6357","d2.KF744404.1"
"6358","d2.KF744407.1"
"6359","d2.KF744408.1"
"6360","d2.KF704358.1"
"6361","d2.KF704357.1"
"6362","d2.KJ830750.1"
"6363","d2.KF704354.1"
"6364","d2.KF704355.1"
"6365","d2.KF744405.1"
"6366","d2.KJ918750.1"
"6367","d2.KF704356.1"
"6368","d2.KJ010185.1"
"6369","d2.KJ010186.1"
"6370","d2.JX073928.1"
"6371","d2.KJ189310.1"
"6372","d2.KJ189308.1"
"6373","d2.KJ189370.1"
"6374","d2.KJ189309.1"
"6375","d2.KJ189311.1"
"6376","d2.JQ955623.1"
"6377","d2.KF955346.1"
"6378","d2.JQ955624.1"
"6379","d2.KF955359.1"
"6380","d2.JX475906.1"
"6381","d2.KF955366.1"
"6382","d2.KF955360.1"
"6383","d2.KF955369.1"
"6384","d2.KJ189305.1"
"6385","d2.KF955362.1"
"6386","d2.KF955363.1"
"6387","d2.KF955372.1"
"6388","d2.KF955373.1"
"6389","d2.KF955385.1"
"6390","d2.KF955401.1"
"6391","d2.KF921930.1"
"6392","d2.KF955364.1"
"6393","d2.KF955395.1"
"6394","d2.KF921931.1"
"6395","d2.KF955371.1"
"6396","d2.KF955402.1"
"6397","d2.KC294202.1"
"6398","d2.KC294205.1"
"6399","d2.KC294206.1"
"6400","d2.KC294203.1"
"6401","d2.KC294207.1"
"6402","d2.KC294200.1"
"6403","d2.KC294204.1"
"6404","d2.KC294208.1"
"6405","d2.KC294210.1"
"6406","d2.KC294201.1"
"6407","d2.KC294209.1"
"6408","d2.KC294213.1"
"6409","d2.KC294216.1"
"6410","d2.KC294212.1"
"6411","d2.KC294214.1"
"6412","d2.KC294218.1"
"6413","d2.KC294215.1"
"6414","d2.KC294219.1"
"6415","d2.KC294221.1"
"6416","d2.EU920828.1"
"6417","d2.KC294217.1"
"6418","d2.KC294211.1"
"6419","d2.KC294220.1"
"6420","d2.EU920829.1"
"6421","d2.EU920830.1"
"6422","d2.KC294223.1"
"6423","d2.EU920835.1"
"6424","d2.KC294222.1"
"6425","d2.EU920834.1"
"6426","d2.EU920836.1"
"6427","d2.EU920833.1"
"6428","d2.EU920831.1"
"6429","d2.EU920838.1"
"6430","d2.EU920837.1"
"6431","d2.EU920832.1"
"6432","d2.EU920842.1"
"6433","d2.EU920839.1"
"6434","d2.EU920840.1"
"6435","d2.EU920844.1"
"6436","d2.EU920841.1"
"6437","d2.EU920847.1"
"6438","d2.EU920848.1"
"6439","d2.EU920849.1"
"6440","d2.EU920843.1"
"6441","d2.EU920846.1"
"6442","d2.KF041232.1"
"6443","d2.EU920845.1"
"6444","d2.KF041234.1"
"6445","d2.KF041233.1"
"6446","d2.KC964094.1"
"6447","d2.KC964093.1"
"6448","d2.EU920850.1"
"6449","d2.KC964095.1"
"6450","d2.KF041237.1"
"6451","d2.KF041235.1"
"6452","d2.JX669476.1"
"6453","d2.KF360005.1"
"6454","d2.JX669477.1"
"6455","d2.KF041236.1"
"6456","d2.JX669480.1"
"6457","d2.JX669479.1"
"6458","d2.JX669484.1"
"6459","d2.JX669478.1"
"6460","d2.JX669482.1"
"6461","d2.KF479233.1"
"6462","d2.JX669481.1"
"6463","d2.JX669486.1"
"6464","d2.JX669483.1"
"6465","d2.JX669485.1"
"6466","d2.JX669488.1"
"6467","d2.JX649147.1"
"6468","d2.JX649148.1"
"6469","d2.JX966379.1"
"6470","d2.JX286516.1"
"6471","d2.JX669487.1"
"6472","d2.JX286517.1"
"6473","d2.JX966380.1"
"6474","d2.JX286518.1"
"6475","d2.JX286523.1"
"6476","d2.JX286519.1"
"6477","d2.JX286522.1"
"6478","d2.JX286525.1"
"6479","d2.JX286524.1"
"6480","d2.JX286520.1"
"6481","d2.JX286526.1"
"6482","d2.JX286521.1"
"6483","d2.JQ922550.1"
"6484","d2.KC131142.1"
"6485","d2.JQ922549.1"
"6486","d2.JX567951.1"
"6487","d2.JQ922553.1"
"6488","d2.JX470186.1"
"6489","d2.JN368476.1"
"6490","d2.JQ922551.1"
"6491","d2.JX567950.1"
"6492","d2.JQ922552.1"
"6493","d2.JX079688.1"
"6494","d2.JN851115.1"
"6495","d2.JX079691.1"
"6496","d2.JN851116.1"
"6497","d2.JX079690.1"
"6498","d2.JN851114.1"
"6499","d2.JN851117.1"
"6500","d2.JN851113.1"
"6501","d2.JX079694.1"
"6502","d2.JN851120.1"
"6503","d2.JN851122.1"
"6504","d2.JN851118.1"
"6505","d2.JN851121.1"
"6506","d2.JN851119.1"
"6507","d2.JN851125.1"
"6508","d2.JN851129.1"
"6509","d2.JN851127.1"
"6510","d2.JN851124.1"
"6511","d2.JN851123.1"
"6512","d2.HQ332184.1"
"6513","d2.HQ332185.1"
"6514","d2.JN851131.1"
"6515","d2.HQ332187.1"
"6516","d2.HQ332186.1"
"6517","d2.JN851130.1"
"6518","d2.JN851128.1"
"6519","d2.JN851126.1"
"6520","d2.JQ045669.1"
"6521","d2.JQ045671.1"
"6522","d2.JQ045672.1"
"6523","d2.HQ332188.1"
"6524","d2.JQ045673.1"
"6525","d2.HQ332189.1"
"6526","d2.JQ045670.1"
"6527","d2.JQ045674.1"
"6528","d2.HQ332190.1"
"6529","d2.JQ045677.1"
"6530","d2.JQ045679.1"
"6531","d2.JQ045680.1"
"6532","d2.JQ045682.1"
"6533","d2.JQ045675.1"
"6534","d2.JQ045676.1"
"6535","d2.JQ045683.1"
"6536","d2.JQ045681.1"
"6537","d2.JQ045684.1"
"6538","d2.JQ045678.1"
"6539","d2.JN819408.1"
"6540","d2.JN819407.1"
"6541","d2.JN819418.1"
"6542","d2.JQ045685.1"
"6543","d2.JN819420.1"
"6544","d2.JQ045686.1"
"6545","d2.JN819422.1"
"6546","d2.JN819419.1"
"6547","d2.JN819416.1"
"6548","d2.HQ999999.1"
"6549","d2.FJ196851.1"
"6550","d2.JN819421.1"
"6551","d2.FJ196852.1"
"6552","d2.HQ891023.1"
"6553","d2.FJ196854.1"
"6554","d2.JF327392.1"
"6555","d2.JF730045.1"
"6556","d2.JN819424.1"
"6557","d2.JF730046.1"
"6558","d2.FJ196853.1"
"6559","d2.JF730049.1"
"6560","d2.HQ891024.1"
"6561","d2.JF730051.1"
"6562","d2.JF730044.1"
"6563","d2.JF730052.1"
"6564","d2.JF730048.1"
"6565","d2.JF730047.1"
"6566","d2.HQ541805.1"
"6567","d2.HQ012533.1"
"6568","d2.JF357906.1"
"6569","d2.HQ012534.1"
"6570","d2.HQ012535.1"
"6571","d2.JF357905.1"
"6572","d2.JF357907.1"
"6573","d2.HQ012536.1"
"6574","d2.HQ012537.1"
"6575","d2.HQ541788.1"
"6576","d2.HQ012538.1"
"6577","d2.HQ026763.1"
"6578","d2.HQ541792.1"
"6579","d2.HQ541787.1"
"6580","d2.HQ541793.1"
"6581","d2.HQ541786.1"
"6582","d2.HQ541794.1"
"6583","d2.HQ733861.1"
"6584","d2.GQ398259.1"
"6585","d2.HQ705625.1"
"6586","d2.GQ398258.1"
"6587","d2.HQ634199.1"
"6588","d2.HQ705624.1"
"6589","d2.GQ398261.1"
"6590","d2.GQ398257.1"
"6591","d2.GQ398268.1"
"6592","d2.GQ398267.1"
"6593","d2.GQ398265.1"
"6594","d2.GQ398263.1"
"6595","d2.GQ398262.1"
"6596","d2.GQ398260.1"
"6597","d2.GQ398269.1"
"6598","d2.GQ398264.1"
"6599","d2.GQ398270.1"
"6600","d2.GQ398272.1"
"6601","d2.GQ398266.1"
"6602","d2.GQ398273.1"
"6603","d2.GQ398275.1"
"6604","d2.GQ398271.1"
"6605","d2.GQ398277.1"
"6606","d2.GQ398276.1"
"6607","d2.GQ398280.1"
"6608","d2.GQ398283.1"
"6609","d2.GQ398284.1"
"6610","d2.GQ398282.1"
"6611","d2.GQ398274.1"
"6612","d2.GQ398281.1"
"6613","d2.GQ398278.1"
"6614","d2.GQ398285.1"
"6615","d2.GQ398287.1"
"6616","d2.GQ398279.1"
"6617","d2.GQ398288.1"
"6618","d2.GQ398289.1"
"6619","d2.GQ398291.1"
"6620","d2.GQ398286.1"
"6621","d2.GQ398295.1"
"6622","d2.GQ398290.1"
"6623","d2.GQ398296.1"
"6624","d2.GQ398298.1"
"6625","d2.GQ398292.1"
"6626","d2.GQ398293.1"
"6627","d2.GQ398299.1"
"6628","d2.GQ398294.1"
"6629","d2.GQ398297.1"
"6630","d2.GQ398303.1"
"6631","d2.GQ398305.1"
"6632","d2.GQ398306.1"
"6633","d2.GQ398302.1"
"6634","d2.GQ398307.1"
"6635","d2.GQ398301.1"
"6636","d2.GQ398308.1"
"6637","d2.GQ398309.1"
"6638","d2.GQ398300.1"
"6639","d2.GQ398304.1"
"6640","d2.GQ398310.1"
"6641","d2.GQ398311.1"
"6642","d2.GQ398314.1"
"6643","d2.HM582100.1"
"6644","d2.GQ398313.1"
"6645","d2.HM582103.1"
"6646","d2.HM582099.1"
"6647","d2.HM582101.1"
"6648","d2.GQ398312.1"
"6649","d2.HM582105.1"
"6650","d2.HM582102.1"
"6651","d2.HM582107.1"
"6652","d2.HM582108.1"
"6653","d2.HM582104.1"
"6654","d2.HM582109.1"
"6655","d2.HM582110.1"
"6656","d2.HM582111.1"
"6657","d2.HM582116.1"
"6658","d2.HM582117.1"
"6659","d2.HM582112.1"
"6660","d2.HM582114.1"
"6661","d2.HM582106.1"
"6662","d2.HM488257.1"
"6663","d2.HM582115.1"
"6664","d2.HM582113.1"
"6665","d2.HM631867.1"
"6666","d2.HM631866.1"
"6667","d2.HM631865.1"
"6668","d2.HM181971.1"
"6669","d2.HM631868.1"
"6670","d2.GU370051.1"
"6671","d2.GU369819.1"
"6672","d2.GU289914.1"
"6673","d2.GU370050.1"
"6674","d2.GU131974.1"
"6675","d2.GU131959.1"
"6676","d2.GU131879.1"
"6677","d2.GU131880.1"
"6678","d2.GU131975.1"
"6679","d2.GU131947.1"
"6680","d2.GU131843.1"
"6681","d2.GU131882.1"
"6682","d2.GU131864.1"
"6683","d2.GU131881.1"
"6684","d2.GU131886.1"
"6685","d2.GU131896.1"
"6686","d2.GU131885.1"
"6687","d2.GU131883.1"
"6688","d2.GU131898.1"
"6689","d2.GU131884.1"
"6690","d2.GU131897.1"
"6691","d2.GU131901.1"
"6692","d2.GU131899.1"
"6693","d2.GU131902.1"
"6694","d2.GU131900.1"
"6695","d2.GU131924.1"
"6696","d2.GU131928.1"
"6697","d2.GU131929.1"
"6698","d2.GU131931.1"
"6699","d2.GU131927.1"
"6700","d2.GU131930.1"
"6701","d2.GU131955.1"
"6702","d2.GU131932.1"
"6703","d2.GQ868540.1"
"6704","d2.GQ868497.1"
"6705","d2.GQ868515.1"
"6706","d2.GQ868542.1"
"6707","d2.GQ868543.1"
"6708","d2.GQ868544.1"
"6709","d2.GQ868541.1"
"6710","d2.GQ868516.1"
"6711","d2.GQ868549.1"
"6712","d2.GQ868550.1"
"6713","d2.GQ868545.1"
"6714","d2.GQ868554.1"
"6715","d2.GQ868555.1"
"6716","d2.GQ868552.1"
"6717","d2.GQ868551.1"
"6718","d2.GQ868553.1"
"6719","d2.GQ868556.1"
"6720","d2.GQ868558.1"
"6721","d2.GQ868557.1"
"6722","d2.GQ868591.1"
"6723","d2.GQ868590.1"
"6724","d2.GQ868592.1"
"6725","d2.GQ868588.1"
"6726","d2.GQ868589.1"
"6727","d2.GQ868597.1"
"6728","d2.GQ868596.1"
"6729","d2.GQ868598.1"
"6730","d2.GQ868595.1"
"6731","d2.GQ868603.1"
"6732","d2.GQ868604.1"
"6733","d2.GQ868620.1"
"6734","d2.GQ868623.1"
"6735","d2.GQ868621.1"
"6736","d2.GQ868600.1"
"6737","d2.GQ868599.1"
"6738","d2.GQ868622.1"
"6739","d2.GQ868625.1"
"6740","d2.GQ868640.1"
"6741","d2.GQ868624.1"
"6742","d2.GQ868646.1"
"6743","d2.GQ868638.1"
"6744","d2.GQ868641.1"
"6745","d2.AB479041.1"
"6746","d2.GQ868631.1"
"6747","d2.GQ199868.1"
"6748","d2.GQ199890.1"
"6749","d2.GQ199869.1"
"6750","d2.GQ199874.1"
"6751","d2.AB479042.1"
"6752","d2.GQ199893.1"
"6753","d2.GQ199866.1"
"6754","d2.GQ199892.1"
"6755","d2.GQ199894.1"
"6756","d2.GQ199898.1"
"6757","d2.GQ199897.1"
"6758","d2.GQ199895.1"
"6759","d2.GQ252677.1"
"6760","d2.GQ199896.1"
"6761","d2.FJ432724.1"
"6762","d2.FJ467493.1"
"6763","d2.GQ252676.1"
"6764","d2.FJ859028.1"
"6765","d2.FJ873811.1"
"6766","d2.FJ898435.1"
"6767","d2.FJ898434.1"
"6768","d2.FJ873808.1"
"6769","d2.FJ898436.1"
"6770","d2.FJ882594.1"
"6771","d2.FJ898432.1"
"6772","d2.FJ882593.1"
"6773","d2.FJ882602.1"
"6774","d2.FJ898438.1"
"6775","d2.FJ898452.1"
"6776","d2.FJ898453.1"
"6777","d2.FJ898439.1"
"6778","d2.FJ898454.1"
"6779","d2.FJ898451.1"
"6780","d2.FJ898450.1"
"6781","d2.FJ898449.1"
"6782","d2.FJ898460.1"
"6783","d2.FJ898461.1"
"6784","d2.FJ898478.1"
"6785","d2.FJ898466.1"
"6786","d2.FJ898477.1"
"6787","d2.FJ898479.1"
"6788","d2.FJ898465.1"
"6789","d2.FJ898467.1"
"6790","d2.FJ906959.1"
"6791","d2.FJ906961.1"
"6792","d2.FJ906957.1"
"6793","d2.FJ810409.1"
"6794","d2.FJ906956.1"
"6795","d2.FJ906962.1"
"6796","d2.FJ906960.1"
"6797","d2.FJ906958.1"
"6798","d2.FJ810412.1"
"6799","d2.FJ850050.1"
"6800","d2.FJ810410.1"
"6801","d2.FJ810411.1"
"6802","d2.FJ850054.1"
"6803","d2.FJ850051.1"
"6804","d2.FJ850053.1"
"6805","d2.FJ850062.1"
"6806","d2.FJ850063.1"
"6807","d2.FJ850060.1"
"6808","d2.FJ850064.1"
"6809","d2.FJ810418.1"
"6810","d2.FJ850066.1"
"6811","d2.FJ850065.1"
"6812","d2.FJ850072.1"
"6813","d2.FJ850061.1"
"6814","d2.FJ850074.1"
"6815","d2.FJ850078.1"
"6816","d2.FJ850085.1"
"6817","d2.FJ850067.1"
"6818","d2.FJ850076.1"
"6819","d2.FJ850091.1"
"6820","d2.FJ850082.1"
"6821","d2.FJ850105.1"
"6822","d2.FJ850106.1"
"6823","d2.FJ850088.1"
"6824","d2.FJ850108.1"
"6825","d2.FJ850112.1"
"6826","d2.FJ850116.1"
"6827","d2.FJ850107.1"
"6828","d2.FJ850119.1"
"6829","d2.FJ850117.1"
"6830","d2.FJ850115.1"
"6831","d2.FJ850118.1"
"6832","d2.FJ687434.1"
"6833","d2.FJ850120.1"
"6834","d2.FJ687436.1"
"6835","d2.FJ850121.1"
"6836","d2.FJ687437.1"
"6837","d2.FJ687438.1"
"6838","d2.FJ744709.1"
"6839","d2.FJ687440.1"
"6840","d2.FJ687435.1"
"6841","d2.FJ687442.1"
"6842","d2.FJ687443.1"
"6843","d2.FJ687445.1"
"6844","d2.FJ687439.1"
"6845","d2.FJ687446.1"
"6846","d2.FJ687441.1"
"6847","d2.FJ687447.1"
"6848","d2.FJ687444.1"
"6849","d2.FJ744703.1"
"6850","d2.FJ744706.1"
"6851","d2.FJ744708.1"
"6852","d2.FJ744710.1"
"6853","d2.FJ744705.1"
"6854","d2.FJ744711.1"
"6855","d2.FJ744704.1"
"6856","d2.FJ744712.1"
"6857","d2.FJ744714.1"
"6858","d2.FJ744713.1"
"6859","d2.FJ744707.1"
"6860","d2.FJ744717.1"
"6861","d2.FJ744718.1"
"6862","d2.FJ744716.1"
"6863","d2.FJ744719.1"
"6864","d2.FJ744715.1"
"6865","d2.FJ744722.1"
"6866","d2.FJ744725.1"
"6867","d2.FJ744721.1"
"6868","d2.FJ744724.1"
"6869","d2.FJ744720.1"
"6870","d2.FJ744742.1"
"6871","d2.FJ744723.1"
"6872","d2.FJ744745.1"
"6873","d2.FJ744741.1"
"6874","d2.FJ744743.1"
"6875","d2.FJ461305.1"
"6876","d2.FJ461311.1"
"6877","d2.FJ432726.1"
"6878","d2.FJ461321.1"
"6879","d2.FJ744744.1"
"6880","d2.FJ461309.1"
"6881","d2.FJ547064.1"
"6882","d2.FJ562098.1"
"6883","d2.FJ639698.1"
"6884","d2.FJ461314.1"
"6885","d2.FJ547067.1"
"6886","d2.FJ639699.1"
"6887","d2.FJ547090.1"
"6888","d2.FJ639700.1"
"6889","d2.FJ639697.1"
"6890","d2.FJ639703.1"
"6891","d2.FJ639704.1"
"6892","d2.FJ639705.1"
"6893","d2.FJ639706.1"
"6894","d2.FJ639701.1"
"6895","d2.FJ639711.1"
"6896","d2.FJ639708.1"
"6897","d2.FJ639707.1"
"6898","d2.FJ639710.1"
"6899","d2.FJ639702.1"
"6900","d2.FJ639718.1"
"6901","d2.FJ639733.1"
"6902","d2.FJ639709.1"
"6903","d2.FJ639734.1"
"6904","d2.FJ639788.1"
"6905","d2.FJ639717.1"
"6906","d2.FJ639809.1"
"6907","d2.FJ639829.1"
"6908","d2.FJ639828.1"
"6909","d2.FJ639830.1"
"6910","d2.FJ639732.1"
"6911","d2.FJ639783.1"
"6912","d2.FJ639831.1"
"6913","d2.FJ639832.1"
"6914","d2.FJ639833.1"
"6915","d2.FJ639837.1"
"6916","d2.FJ639822.1"
"6917","d2.FJ639834.1"
"6918","d2.FJ478455.1"
"6919","d2.FJ639836.1"
"6920","d2.FJ478459.1"
"6921","d2.FJ639835.1"
"6922","d2.FJ226066.1"
"6923","d2.FJ373300.1"
"6924","d2.FJ390385.1"
"6925","d2.FJ373299.1"
"6926","d2.FJ373301.1"
"6927","d2.FJ390384.1"
"6928","d2.FJ390389.1"
"6929","d2.FJ390387.1"
"6930","d2.FJ390390.1"
"6931","d2.FJ410193.1"
"6932","d2.FJ410195.1"
"6933","d2.FJ390391.1"
"6934","d2.FJ410208.1"
"6935","d2.FJ410217.1"
"6936","d2.FJ410202.1"
"6937","d2.FJ410215.1"
"6938","d2.FJ410219.1"
"6939","d2.FJ410224.1"
"6940","d2.FJ410221.1"
"6941","d2.FJ410228.1"
"6942","d2.FJ410200.1"
"6943","d2.FJ410237.1"
"6944","d2.FJ410259.1"
"6945","d2.FJ410223.1"
"6946","d2.FJ410288.1"
"6947","d2.FJ410233.1"
"6948","d2.FJ410291.1"
"6949","d2.FJ205877.1"
"6950","d2.FJ410241.1"
"6951","d2.FJ205879.1"
"6952","d2.FJ182012.1"
"6953","d2.FJ205885.1"
"6954","d2.FJ205878.1"
"6955","d2.FM210202.1"
"6956","d2.FJ205880.1"
"6957","d2.FJ182014.1"
"6958","d2.FM210204.1"
"6959","d2.FM210207.1"
"6960","d2.FM210205.1"
"6961","d2.FM210208.1"
"6962","d2.FM210209.1"
"6963","d2.FM210211.1"
"6964","d2.FM210203.1"
"6965","d2.FM210212.1"
"6966","d2.FM210210.1"
"6967","d2.FM210213.1"
"6968","d2.FM210217.1"
"6969","d2.FM210206.1"
"6970","d2.FM210214.1"
"6971","d2.FM210219.1"
"6972","d2.FM210218.1"
"6973","d2.FM210215.1"
"6974","d2.FM210216.1"
"6975","d2.FM210222.1"
"6976","d2.FM210221.1"
"6977","d2.FM210224.1"
"6978","d2.FM210225.1"
"6979","d2.FM210220.1"
"6980","d2.FM210228.1"
"6981","d2.FM210229.1"
"6982","d2.FM210230.1"
"6983","d2.FM210226.1"
"6984","d2.FM210227.1"
"6985","d2.FM210223.1"
"6986","d2.FM210235.2"
"6987","d2.FM210236.2"
"6988","d2.FM210237.2"
"6989","d2.FM210238.2"
"6990","d2.FM210232.2"
"6991","d2.FM210240.2"
"6992","d2.FM210242.2"
"6993","d2.FM210231.1"
"6994","d2.FM210241.2"
"6995","d2.FM210233.2"
"6996","d2.FM210243.2"
"6997","d2.FM210234.2"
"6998","d2.FM210239.2"
"6999","d2.FM210244.2"
"7000","d2.FM210246.2"
"7001","d2.FJ024454.1"
"7002","d2.FJ024458.1"
"7003","d2.FJ024461.1"
"7004","d2.FM210245.2"
"7005","d2.FJ024452.1"
"7006","d2.EU854294.1"
"7007","d2.EU854293.1"
"7008","d2.FJ024475.1"
"7009","d2.EU056811.1"
"7010","d2.DQ645540.1"
"7011","d2.EU056812.1"
"7012","d2.EU056810.1"
"7013","d2.FJ024473.1"
"7014","d2.FJ024477.1"
"7015","d2.DQ645542.1"
"7016","d2.DQ645543.1"
"7017","d2.DQ645544.1"
"7018","d2.FJ024474.1"
"7019","d2.DQ645541.1"
"7020","d2.DQ645547.1"
"7021","d2.DQ645548.1"
"7022","d2.DQ645546.1"
"7023","d2.DQ645551.1"
"7024","d2.DQ645552.1"
"7025","d2.DQ645545.1"
"7026","d2.DQ645555.1"
"7027","d2.DQ645550.1"
"7028","d2.DQ645554.1"
"7029","d2.DQ645553.1"
"7030","d2.DQ645549.1"
"7031","d2.EU003591.1"
"7032","d2.EU726775.1"
"7033","d2.EU726767.1"
"7034","d2.DQ645556.1"
"7035","d2.EU660398.1"
"7036","d2.EU660399.1"
"7037","d2.EU726776.1"
"7038","d2.EU660400.1"
"7039","d2.EU781135.1"
"7040","d2.EU726770.1"
"7041","d2.EU660405.1"
"7042","d2.EU660413.1"
"7043","d2.EU660415.1"
