strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
KF921930.1	DENV-2/KH/BID-V2027/2002	Zody_2014	NCBI	2002-XX-XX	Cambodia	2	2_V	0	0	0	0	2002	10	10	10
KC294201.1	DENV-2/PE/FMD2303/2009	Williams_2014	NCBI	2009-02-13	Peru	2	2_III	0	0	0	1	2009	2	1	2
KC294202.1	DENV-2/PE/FPI00073/2010	Williams_2014	NCBI	2010-12-13	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294203.1	DENV-2/PE/FPI00154/2010	Williams_2014	NCBI	2010-12-29	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294215.1	DENV-2/PE/FPY00016/2010	Williams_2014	NCBI	2010-12-22	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294216.1	DENV-2/PE/FSL699/2002	Williams_2014	NCBI	2002-02-06	Peru	2	2_III	0	0	0	1	2002	8	2	8
KC294217.1	DENV-2/PE/FSL_4862/2010	Williams_2014	NCBI	2010-11-22	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294219.1	DENV-2/PE/IQA_1995/2010	Williams_2014	NCBI	2010-10-21	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294220.1	DENV-2/PE/IQA_2042/2010	Williams_2014	NCBI	2010-11-04	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294221.1	DENV-2/PE/IQA_2080/2010	Williams_2014	NCBI	2010-11-16	Peru	2	2_III	0	0	0	1	2010	8	8	8
KC294222.1	DENV-2/PE/NFI_52/2002	Williams_2014	NCBI	2002-03-22	Peru	2	2_III	0	0	0	1	2002	8	2	8
KC294223.1	DENV-2/PE/NFI1159/2010	Williams_2014	NCBI	2010-10-19	Peru	2	2_III	0	0	0	1	2010	8	8	8
EU920828.1	FGU-Feb-93	Dussart_2014	NCBI	1993-02-XX	French-Guiana	2	2_III	0	0	0	0	1993	1	1	1
EU920829.1	FGU-Jun-97	Dussart_2014	NCBI	1997-06-XX	French-Guiana	2	2_III	0	0	0	0	1997	1	1	1
EU920830.1	FGU-Fev-98	Dussart_2014	NCBI	1998-02-XX	French-Guiana	2	2_III	0	0	0	0	1998	2	2	2
EU920831.1	FGU-Aug-98	Dussart_2014	NCBI	1998-08-XX	French-Guiana	2	2_III	0	0	0	0	1998	2	2	2
